,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
4374,In Bruges,7757130,107,15000000,7.9,Comedy,328223,2008,Martin McDonagh,R,2/29/2008,Colin Farrell,Martin McDonagh,Blueprint Pictures,2,2,0
4375,Semi-Pro,33472850,91,55000000,5.8,Comedy,70423,2008,Kent Alterman,R,2/29/2008,Will Ferrell,Scot Armstrong,New Line Cinema,3,2,0
4376,Sex and Death 101,23563,117,5000000,6.0,Comedy,9860,2008,Daniel Waters,R,2/22/2008,Robert Wisdom,Daniel Waters,Avenue Pictures,1,2,0
4377,Diary of the Dead,958961,95,2000000,5.7,Horror,42332,2008,George A. Romero,R,2/22/2008,Michelle Morgan,George A. Romero,Artfire Films,1,2,0
4378,Charlie Bartlett,3950294,97,12000000,7.0,Comedy,58595,2008,Jon Poll,R,2/22/2008,Anton Yelchin,Gustin Nash,Metro-Goldwyn-Mayer (MGM),2,2,0
4380,Strange Wilderness,6563357,100,20000000,5.3,Adventure,19380,2008,Fred Wolf,R,2/1/2008,Steve Zahn,Peter Gaulke,Pelican Productions LLC (I),2,2,0
4381,There Will Be Blood,40222514,158,25000000,8.1,Drama,412459,2008,Paul Thomas Anderson,R,1/25/2008,Daniel Day-Lewis,Paul Thomas Anderson,Paramount Pictures,3,1,0
4383,Rambo 4: Regreso al Infierno,42754105,92,50000000,7.0,Action,189986,2008,Sylvester Stallone,R,1/25/2008,Sylvester Stallone,Art Monterastelli,Lionsgate,3,1,0
4384,Untraceable,28687835,101,35000000,6.2,Crime,42864,2008,Gregory Hoblit,R,1/25/2008,Diane Lane,Robert Fyvolent,Screen Gems,3,1,0
4385,Goya's Ghosts,1000045,113,50000000,6.9,Biography,26348,2008,Milos Forman,R,1/18/2008,Javier Bardem,Milos Forman,The Saul Zaentz Company,2,1,0
4386,Seraphim Falls,418296,115,18000000,6.7,Action,25950,2008,David Von Ancken,R,1/18/2008,Pierce Brosnan,David Von Ancken,Icon Productions,1,1,0
4388,Atonement,50927067,123,30000000,7.8,Drama,207447,2008,Joe Wright,R,1/11/2008,Keira Knightley,Ian McEwan,Universal Pictures,3,1,0
4390,Aliens vs. Predator: Requiem,41797066,94,40000000,4.7,Action,100087,2007,Colin Strause,R,12/25/2007,Reiko Aylesworth,Shane Salerno,Twentieth Century Fox Film Corporation,3,12,0
4391,Sweeney Todd: The Demon Barber of Fleet Street,52898073,116,50000000,7.4,Drama,301732,2007,Tim Burton,R,12/21/2007,Johnny Depp,John Logan,DreamWorks,3,12,0
4392,Charlie Wilson's War,66661095,102,75000000,7.1,Biography,94070,2007,Mike Nichols,R,12/21/2007,Tom Hanks,Aaron Sorkin,Universal Pictures,3,12,0
4393,Walk Hard: The Dewey Cox Story,18317151,96,35000000,6.7,Comedy,58230,2007,Jake Kasdan,R,12/21/2007,John C. Reilly,Judd Apatow,Apatow Productions,3,12,0
4394,Margot at the Wedding,1959420,93,10000000,6.1,Comedy,16620,2007,Noah Baumbach,R,12/14/2007,Nicole Kidman,Noah Baumbach,Scott Rudin Productions,2,12,0
4395,Southland Tales,275380,145,17000000,5.5,Comedy,33669,2007,Richard Kelly,R,12/7/2007,Dwayne Johnson,Richard Kelly,Universal Pictures,1,12,0
